id,query,reply,reply_sort,label,query_cut,reply_cut
4,这套房源价格还有优惠空间吗？,河西区海河沿线的新房，均价30000，带装修，看看去吗，优惠点位很大，五一特惠,1,0,这 套房 源 价格 还有 优惠 空间 吗 ？,河西区 海河 沿线 的 新房 ， 均价 30000 ， 带 装修 ， 看看 去 吗 ， 优惠 点位 很大 ， 五一 特惠
4,这套房源价格还有优惠空间吗？,宾水里，肿瘤医院地铁5-6号线旁，私产过五年唯一，3楼，南北通透偏独，业主着急卖，看房有钥匙,2,0,这 套房 源 价格 还有 优惠 空间 吗 ？,宾水里 ， 肿瘤医院 地铁 5 - 6 号线 旁 ， 私产 过 五年 唯一 ， 3 楼 ， 南北 通透 偏独 ， 业主 着急 卖 ， 看房 有 钥匙
5,这个税多少钱,您看看这个,0,0,这个 税 多少 钱,您 看看 这个
5,这个税多少钱,13楼，精装修的/ ,1,0,这个 税 多少 钱,13 楼 ， 精装修 的 /  
5,这个税多少钱,您现在方便吗 ,2,0,这个 税 多少 钱,您 现在 方便 吗  
5,这个税多少钱,可以先线上带您看一下 ,3,0,这个 税 多少 钱,可以 先线 上 带 您 看 一下  
5,这个税多少钱,您稍等一下，给您发链接您点进来就行 ,4,0,这个 税 多少 钱,您 稍等一下 ， 给 您 发 链接 您 点 进来 就行  
6,这套房源价格还有优惠空间么？,价格周期可谈,0,1,这 套房 源 价格 还有 优惠 空间 么 ？,价格 周期 可谈
6,这套房源价格还有优惠空间么？,您好,1,0,这 套房 源 价格 还有 优惠 空间 么 ？,您好
6,这套房源价格还有优惠空间么？,您好，您之前咨询的房源户型很优质，您有时间去看看吗？,2,0,这 套房 源 价格 还有 优惠 空间 么 ？,您好 ， 您 之前 咨询 的 房源 户型 很 优质 ， 您 有 时间 去 看看 吗 ？
7,有房子可以带我看看吗？,宾至路有套82平方的,0,1,有 房子 可以 带 我 看看 吗 ？,宾至路 有 套 82 平方 的
7,有房子可以带我看看吗？,笋盘,1,1,有 房子 可以 带 我 看看 吗 ？,笋盘
7,有房子可以带我看看吗？,可以带您看一下,2,1,有 房子 可以 带 我 看看 吗 ？,可以 带 您 看 一下
8,光线不好，是吗,光线非常好，友联花园都是可以,0,1,光线 不好 ， 是 吗,光线 非常 好 ， 友联 花园 都 是 可以
8,光线不好，是吗,你点开图片，逐一看看,1,0,光线 不好 ， 是 吗,你 点开 图片 ， 逐一 看看
8,光线不好，是吗,?,2,0,光线 不好 ， 是 吗,?
9,几期的？,是的,0,0,几期 的 ？,是 的
9,几期的？,这个是二期的老师,1,1,几期 的 ？,这个 是 二期 的 老师
9,几期的？,还有的,2,0,几期 的 ？,还有 的
9,几期的？,二期都刚下证今年,3,0,几期 的 ？,二期 都 刚 下证 今年
9,几期的？,一期的有免税的了,4,0,几期 的 ？,一期 的 有 免税 的 了
10,什么情况呢？,我们下班比较晚，现在也能看房,0,0,什么 情况 呢 ？,我们 下班 比较 晚 ， 现在 也 能 看房
10,什么情况呢？,哦,1,0,什么 情况 呢 ？,哦
10,什么情况呢？,大概是这样的,2,0,什么 情况 呢 ？,大概 是 这样 的
10,什么情况呢？,偶尔也会根据成交价格稍微有一点儿浮动,3,0,什么 情况 呢 ？,偶尔 也 会 根据 成交 价格 稍微 有 一点儿 浮动
10,什么情况呢？,不过这种找房子浮动空间都不大,4,0,什么 情况 呢 ？,不过 这种 找 房子 浮动 空间 都 不大
11,这套房源价格还有优惠空间吗？,这套房子价格还有空间,0,1,这 套房 源 价格 还有 优惠 空间 吗 ？,这套 房子 价格 还有 空间
11,这套房源价格还有优惠空间吗？,具体要看您付款方式,1,1,这 套房 源 价格 还有 优惠 空间 吗 ？,具体 要 看 您 付款 方式
12,边户吗？,对的，,0,0,边户 吗 ？,对 的 ，
12,边户吗？,三向的，,1,0,边户 吗 ？,三向 的 ，
12,边户吗？,您想了解一下什么，,2,0,边户 吗 ？,您 想 了解 一下 什么 ，
13,明天还得去看一下这套,明天去看看咯，10点，女朋友妈妈也看看,0,0,明天 还 得 去 看 一下 这套,明天 去 看看 咯 ， 10 点 ， 女朋友 妈妈 也 看看
13,明天还得去看一下这套,我帮你查下啦，刚到家，我看下系统,1,0,明天 还 得 去 看 一下 这套,我 帮 你 查下 啦 ， 刚到 家 ， 我 看 下 系统
13,明天还得去看一下这套,我今天跑到亚运城看新房了，累死了😂，五一太火爆了,2,0,明天 还 得 去 看 一下 这套,我 今天 跑 到 亚运 城看 新房 了 ， 累死 了 😂 ， 五一 太 火爆 了
14,看房方便吗,这套房子在4楼，是中层楼,0,0,看房 方便 吗,这套 房子 在 4 楼 ， 是 中层 楼
14,看房方便吗,你好,1,0,看房 方便 吗,你好
14,看房方便吗,七八户😅😅😅,2,0,看房 方便 吗,七八 户 😅 😅 😅
15,这个小区配套哪个小学和中学,小学是砂子塘万科魅力之城小学,0,1,这个 小区 配套 哪个 小学 和 中学,小学 是 砂子 塘 万科 魅力 之 城 小学
15,这个小区配套哪个小学和中学,中学是微机派位的,1,1,这个 小区 配套 哪个 小学 和 中学,中学 是 微机 派位 的
15,这个小区配套哪个小学和中学,附近的有雅礼雨花、一中新华都、南雅中学这些,2,1,这个 小区 配套 哪个 小学 和 中学,附近 的 有雅礼 雨花 、 一中 新华 都 、 南雅 中学 这些
15,这个小区配套哪个小学和中学,最近的是雅礼雨花和一中新华都,3,1,这个 小区 配套 哪个 小学 和 中学,最近 的 是 雅礼 雨花 和 一中 新华 都
16,首付多少,首套房,0,1,首付 多少,首 套房
16,首付多少,首付办完 63万左右,1,1,首付 多少,首付 办完   63 万左右
16,首付多少,包含全部,2,0,首付 多少,包含 全部
17,价格最低多少卖？,没有说，但是估计少不到多少,0,1,价格 最低 多少 卖 ？,没有 说 ， 但是 估计 少 不到 多少
17,价格最低多少卖？,3楼房子卖了,1,0,价格 最低 多少 卖 ？,3 楼 房子 卖 了
17,价格最低多少卖？,这套房子可以哟,2,0,价格 最低 多少 卖 ？,这套 房子 可以 哟
18,采光怎么样呢？,随时可以看房的,0,0,采光 怎么样 呢 ？,随时 可以 看房 的
18,采光怎么样呢？,今天有时间吗,1,0,采光 怎么样 呢 ？,今天 有 时间 吗
18,采光怎么样呢？,我拿好钥匙可以直接现场看的,2,0,采光 怎么样 呢 ？,我 拿 好 钥匙 可以 直接 现场 看 的
18,采光怎么样呢？,好的 就考虑义堂这块小三室吗,3,0,采光 怎么样 呢 ？,好 的   就 考虑 义堂 这块 小 三室 吗
18,采光怎么样呢？,只看二环里吗？,4,0,采光 怎么样 呢 ？,只 看 二环 里 吗 ？
19,想看一下房子,可以啊,0,1,想 看 一下 房子,可以 啊
19,想看一下房子,您什么时候看,1,1,想 看 一下 房子,您 什么 时候 看
19,想看一下房子,好的,2,0,想 看 一下 房子,好 的
20,这个房子价格能谈吗,您好,0,0,这个 房子 价格 能谈 吗,您好
20,这个房子价格能谈吗,价格可以谈,1,1,这个 房子 价格 能谈 吗,价格 可以 谈
20,这个房子价格能谈吗,水仙的,2,0,这个 房子 价格 能谈 吗,水仙 的
21,我想看看碧桂园的房子。,OK,0,0,我 想 看看 碧桂园 的 房子 。,OK
21,我想看看碧桂园的房子。,OK,1,0,我 想 看看 碧桂园 的 房子 。,OK
21,我想看看碧桂园的房子。, 可以的,2,1,我 想 看看 碧桂园 的 房子 。,  可以 的
22,房价还能谈吗？,可以,0,1,房价 还 能 谈 吗 ？,可以
22,房价还能谈吗？,40来万的,1,0,房价 还 能 谈 吗 ？,40 来 万 的
22,房价还能谈吗？,我们有钥匙的你有时间没,2,0,房价 还 能 谈 吗 ？,我们 有 钥匙 的 你 有 时间 没
23,这是一期吗,约哈。去看哈嘛,0,0,这是 一期 吗,约 哈 。 去 看哈嘛
23,这是一期吗,确定,1,0,这是 一期 吗,确定
23,这是一期吗,我上个月才卖了得,2,0,这是 一期 吗,我 上个月 才 卖 了 得
23,这是一期吗,大概几分钟吧,3,0,这是 一期 吗,大概 几分钟 吧
23,这是一期吗,亲爱的你点好多,4,0,这是 一期 吗,亲爱 的 你 点 好多
24,您好，我想看一下这房子,👌,0,0,您好 ， 我 想 看 一下 这 房子,👌
24,您好，我想看一下这房子,我给您发个vr,1,0,您好 ， 我 想 看 一下 这 房子,我 给 您 发个 vr
24,您好，我想看一下这房子,怎么了？,2,0,您好 ， 我 想 看 一下 这 房子,怎么 了 ？
25,您好，请问这个户型有啥优缺点,链家NAME很高兴为您服务,0,0,您好 ， 请问 这个 户型 有 啥 优缺点,链家 NAME 很 高兴 为您服务
25,您好，请问这个户型有啥优缺点,永丰楼   6楼到顶的5楼,1,1,您好 ， 请问 这个 户型 有 啥 优缺点,永丰 楼       6 楼到 顶 的 5 楼
25,您好，请问这个户型有啥优缺点,南北通透的两室,2,1,您好 ， 请问 这个 户型 有 啥 优缺点,南北 通透 的 两室
25,您好，请问这个户型有啥优缺点,私产  满五年,3,1,您好 ， 请问 这个 户型 有 啥 优缺点,私产     满 五年
25,您好，请问这个户型有啥优缺点,性价比挺合适的,4,1,您好 ， 请问 这个 户型 有 啥 优缺点,性价比 挺 合适 的
26,临街吗,靠百色路,0,1,临街 吗,靠 百色 路
26,临街吗,电梯房考虑吗,1,0,临街 吗,电梯 房 考虑 吗
26,临街吗,嗯,2,0,临街 吗,嗯
27,先看房子嘛,这几套房子是幸福时光里的，离长生桥轻轨站很近，,0,0,先看 房子 嘛,这 几套 房子 是 幸福 时光 里 的 ， 离 长生 桥 轻轨站 很近 ，
27,先看房子嘛,您从那边过来,1,0,先看 房子 嘛,您 从 那边 过来
27,先看房子嘛,自己开车还是轻轨,2,0,先看 房子 嘛,自己 开车 还是 轻轨
28,您好，请问这个房子周边有哪些学校,可以申请,0,0,您好 ， 请问 这个 房子 周边 有 哪些 学校,可以 申请
28,您好，请问这个房子周边有哪些学校,可园小学中学，木棉湾小学中学都可以上,1,1,您好 ， 请问 这个 房子 周边 有 哪些 学校,可 园 小学 中学 ， 木棉 湾 小学 中学 都 可以 上
28,您好，请问这个房子周边有哪些学校,百合学校分区，只有龙岗区才能上，以近距离录取分数线准,2,1,您好 ， 请问 这个 房子 周边 有 哪些 学校,百合 学校 分区 ， 只有 龙岗区 才能 上 ， 以 近距离 录取 分数线 准
28,您好，请问这个房子周边有哪些学校,教育局网,3,0,您好 ， 请问 这个 房子 周边 有 哪些 学校,教育局 网
28,您好，请问这个房子周边有哪些学校,申请,4,0,您好 ， 请问 这个 房子 周边 有 哪些 学校,申请
29,请问首付和贷款是多少？,您好，您发的房子还在的，链家所有房源均为真实在售房源，想看看吗？我可以帮您约业主时间。,0,0,请问 首付 和 贷款 是 多少 ？,您好 ， 您 发 的 房子 还 在 的 ， 链家 所有 房源 均 为 真实 在 售房 源 ， 想 看看 吗 ？ 我 可以 帮 您 约 业主 时间 。
29,请问首付和贷款是多少？,早上好,1,0,请问 首付 和 贷款 是 多少 ？,早上好
30,你好 请问这个房源信息只有这些吗？,这个房源不存在哈，是租房,0,1,你好   请问 这个 房源 信息 只有 这些 吗 ？,这个 房源 不 存在 哈 ， 是 租房
30,你好 请问这个房源信息只有这些吗？,也可以呀,1,0,你好   请问 这个 房源 信息 只有 这些 吗 ？,也 可以 呀
30,你好 请问这个房源信息只有这些吗？,好的,2,0,你好   请问 这个 房源 信息 只有 这些 吗 ？,好 的
30,你好 请问这个房源信息只有这些吗？,请问您的电话是多少,3,0,你好   请问 这个 房源 信息 只有 这些 吗 ？,请问 您 的 电话 是 多少
30,你好 请问这个房源信息只有这些吗？,您的呢？,4,0,你好   请问 这个 房源 信息 只有 这些 吗 ？,您 的 呢 ？
31,什么时候能够看房呢？,您好这套房子随时可以看,0,1,什么 时候 能够 看房 呢 ？,您好 这套 房子 随时 可以 看
31,什么时候能够看房呢？,您您什么时候有时间看房？,1,1,什么 时候 能够 看房 呢 ？,您 您 什么 时候 有 时间 看房 ？
32,对了我还想看河东的一个房子,琴海公寓您考虑吗？,0,0,对 了 我 还 想 看 河东 的 一个 房子,琴海 公寓 您 考虑 吗 ？
32,对了我还想看河东的一个房子,河东哪套房子？,1,0,对 了 我 还 想 看 河东 的 一个 房子,河东 哪套 房子 ？
32,对了我还想看河东的一个房子,房子您可以给我发一下吗？我给您约一下。,2,0,对 了 我 还 想 看 河东 的 一个 房子,房子 您 可以 给我发 一下 吗 ？ 我 给 您 约 一下 。
33,看房什么时候方便,我给你约一下业主吧。,0,1,看房 什么 时候 方便,我 给 你 约 一下 业主 吧 。
33,看房什么时候方便,您好，您之前咨询的纬四路9号院小区有新上房源，不知道您是否感兴趣？,1,0,看房 什么 时候 方便,您好 ， 您 之前 咨询 的 纬 四路 9 号院 小区 有 新 上 房源 ， 不 知道 您 是否 感兴趣 ？
34,什么时候能够看房呢？,嗯嗯,0,0,什么 时候 能够 看房 呢 ？,嗯 嗯
34,什么时候能够看房呢？,附近目前还有鑫江花漾里,1,0,什么 时候 能够 看房 呢 ？,附近 目前 还有 鑫 江花漾 里
34,什么时候能够看房呢？,😄,2,0,什么 时候 能够 看房 呢 ？,😄
35,你好，这个房子是要全款？,嗯,0,0,你好 ， 这个 房子 是 要 全款 ？,嗯
35,你好，这个房子是要全款？,全款,1,1,你好 ， 这个 房子 是 要 全款 ？,全款
35,你好，这个房子是要全款？,您这边是要按揭还是全款,2,0,你好 ， 这个 房子 是 要 全款 ？,您 这边 是 要 按揭 还是 全款
35,你好，这个房子是要全款？,?,3,0,你好 ， 这个 房子 是 要 全款 ？,?
35,你好，这个房子是要全款？,?,4,0,你好 ， 这个 房子 是 要 全款 ？,?
36,都不满吗？怎么交易,你要造成落地窗吗?,0,0,都 不满 吗 ？ 怎么 交易,你 要 造成 落地窗 吗 ?
36,都不满吗？怎么交易,协议过户,1,1,都 不满 吗 ？ 怎么 交易,协议 过户
36,都不满吗？怎么交易,可以砸?,2,0,都 不满 吗 ？ 怎么 交易,可以 砸 ?
36,都不满吗？怎么交易,我看见有人把阳台改成落地的了?,3,0,都 不满 吗 ？ 怎么 交易,我 看见 有人 把 阳台 改成 落地 的 了 ?
36,都不满吗？怎么交易,没看见有人改、,4,0,都 不满 吗 ？ 怎么 交易,没 看见 有人 改 、
37,临街吗？,不临街呢,0,1,临街 吗 ？,不 临街 呢
37,临街吗？,在,1,0,临街 吗 ？,在
38,明天什么时候可以看看呢,您大概什么时间方便呢,0,1,明天 什么 时候 可以 看看 呢,您 大概 什么 时间 方便 呢
38,明天什么时候可以看看呢,我帮您约好,1,1,明天 什么 时候 可以 看看 呢,我 帮 您 约 好
38,明天什么时候可以看看呢,好的👌您留个联系电话给我,2,0,明天 什么 时候 可以 看看 呢,好 的 👌 您 留个 联系电话 给 我
39,您好，请问这个户型有啥优缺点,这户型的缺点是没有阳台,0,1,您好 ， 请问 这个 户型 有 啥 优缺点,这 户型 的 缺点 是 没有 阳台
39,您好，请问这个户型有啥优缺点,小区是老小区，楼梯房,1,1,您好 ， 请问 这个 户型 有 啥 优缺点,小区 是 老 小区 ， 楼梯 房
39,您好，请问这个户型有啥优缺点,81坪的小三房,2,0,您好 ， 请问 这个 户型 有 啥 优缺点,81 坪 的 小三房
39,您好，请问这个户型有啥优缺点,但是楼下交通，生活，学校都很方便,3,1,您好 ， 请问 这个 户型 有 啥 优缺点,但是 楼下 交通 ， 生活 ， 学校 都 很 方便
39,您好，请问这个户型有啥优缺点,房子是在7楼,4,0,您好 ， 请问 这个 户型 有 啥 优缺点,房子 是 在 7 楼
40,是实验学校吗,不是实验,0,1,是 实验学校 吗,不是 实验
40,是实验学校吗,您要实验学校学区房？,1,0,是 实验学校 吗,您 要 实验学校 学区 房 ？
40,是实验学校吗,有的,2,0,是 实验学校 吗,有 的
41,2020年5月买的1手？,不是啊,0,1,2020 年 5 月 买 的 1 手 ？,不是 啊
41,2020年5月买的1手？,2016年买的,1,1,2020 年 5 月 买 的 1 手 ？,2016 年 买 的
41,2020年5月买的1手？,2019年底才办的契税,2,1,2020 年 5 月 买 的 1 手 ？,2019 年底 才 办 的 契税
42,什么时候能够看房呢？,您好,0,0,什么 时候 能够 看房 呢 ？,您好
42,什么时候能够看房呢？,您好,1,0,什么 时候 能够 看房 呢 ？,您好
43,能看吗,可以的,0,1,能 看 吗,可以 的
43,能看吗,现在还有徐州,1,0,能 看 吗,现在 还有 徐州
43,能看吗,没出去,2,0,能 看 吗,没 出去
44,什么时候友谊医院能开张,2022年,0,1,什么 时候 友谊医院 能 开张,2022 年
44,什么时候友谊医院能开张,有时间可以来看看,1,0,什么 时候 友谊医院 能 开张,有 时间 可以 来 看看
44,什么时候友谊医院能开张,周六日休息吗,2,0,什么 时候 友谊医院 能 开张,周六日 休息 吗
45,这个价格还有的谈吗,这是62平的,0,0,这个 价格 还有 的 谈 吗,这是 62 平 的
45,这个价格还有的谈吗,您想考虑多大面积的呀,1,0,这个 价格 还有 的 谈 吗,您 想 考虑 多 大面积 的 呀
45,这个价格还有的谈吗,您同意呀，我给你发个62平的精装的,2,0,这个 价格 还有 的 谈 吗,您 同意 呀 ， 我 给 你 发个 62 平 的 精装 的
46,北师大附中市重点中学吗,对,0,0,北 师大附中 市 重点中学 吗,对
46,北师大附中市重点中学吗,重点学校,1,0,北 师大附中 市 重点中学 吗,重点 学校
46,北师大附中市重点中学吗,哦哦,2,0,北 师大附中 市 重点中学 吗,哦 哦
47,总的税费？,增值税，契税，个税,0,1,总 的 税费 ？,增值税 ， 契税 ， 个 税
47,总的税费？,一共8点多,1,1,总 的 税费 ？,一共 8 点多
47,总的税费？,好的，我写给您,2,0,总 的 税费 ？,好 的 ， 我 写给 您
47,总的税费？,增值税5.3，契税1.5，个税1,3,1,总 的 税费 ？,增值税 5.3 ， 契税 1.5 ， 个税 1
47,总的税费？,一共7.8,4,1,总 的 税费 ？,一共 7.8
48,这是哪里的房子,这个项目是在青白江那边,0,0,这是 哪里 的 房子,这个 项目 是 在 青白江 那边
48,这是哪里的房子,挨着青白江东站的,1,0,这是 哪里 的 房子,挨着 青白江 东站 的
49,学区划分在哪个小学,飞鹅岭小学的,0,1,学区 划分 在 哪个 小学,飞 鹅岭 小学 的
49,学区划分在哪个小学,不是的，保利高尔夫那里,1,0,学区 划分 在 哪个 小学,不是 的 ， 保利 高尔夫 那里
49,学区划分在哪个小学,公立的，3公里,2,0,学区 划分 在 哪个 小学,公立 的 ， 3 公里
50,什么时候能够看房呢？,房子是业主自住的，看房方便，一般都有老人在家的，,0,1,什么 时候 能够 看房 呢 ？,房子 是 业主 自住 的 ， 看房 方便 ， 一般 都 有 老人 在家 的 ，
50,什么时候能够看房呢？,您有时间可以与我提前联系。我帮您约时间，其他户型的房子也可以带您看一下。,1,1,什么 时候 能够 看房 呢 ？,您 有 时间 可以 与 我 提前 联系 。 我 帮 您 约 时间 ， 其他 户型 的 房子 也 可以 带 您 看 一下 。
50,什么时候能够看房呢？,房子是19楼的，视野也很不错的。,2,0,什么 时候 能够 看房 呢 ？,房子 是 19 楼 的 ， 视野 也 很 不错 的 。
51,不挡光吧、,视野相对来说还可以,0,1,不 挡光 吧 、,视野 相对来说 还 可以
51,不挡光吧、,不挡光,1,1,不 挡光 吧 、,不 挡光
51,不挡光吧、,价格可以谈,2,0,不 挡光 吧 、,价格 可以 谈
51,不挡光吧、,家具需要跟房东协商,3,0,不 挡光 吧 、,家具 需要 跟 房东 协商
51,不挡光吧、,大部分是没有问题的,4,0,不 挡光 吧 、,大部分 是 没有 问题 的
52,这个最低多少钱,您好,0,0,这个 最低 多少 钱,您好
52,这个最低多少钱,业主诚心卖,1,0,这个 最低 多少 钱,业主 诚心 卖
52,这个最低多少钱,您可以先看一下房子，合适的话可以和业主聊聊,2,1,这个 最低 多少 钱,您 可以 先看 一下 房子 ， 合适 的话 可以 和 业主 聊聊
53,2楼这套给256万能谈下来吗,我可以努力去帮你试试,0,1,2 楼 这套 给 256 万能 谈 下来 吗,我 可以 努力 去 帮 你 试试
53,2楼这套给256万能谈下来吗,不过2楼的比这个也大小20平呢😆我估计应该能高一点点,1,0,2 楼 这套 给 256 万能 谈 下来 吗,不过 2 楼 的 比 这个 也 大小 20 平 呢 😆 我 估计 应该 能 高 一点点
53,2楼这套给256万能谈下来吗,我可以帮您递个价给业主聊聊 咱俩在沟通 方便您给我留个您的联系方式吧😊也方便咱们沟通,2,0,2 楼 这套 给 256 万能 谈 下来 吗,我 可以 帮 您 递个 价给 业主 聊聊   咱俩 在 沟通   方便 您 给 我 留个 您 的 联系方式 吧 😊 也 方便 咱们 沟通
54,都看看吧,您今天几点到呢,0,0,都 看看 吧,您 今天 几点 到 呢
54,都看看吧,我都帮您约一下,1,0,都 看看 吧,我 都 帮 您 约 一下
54,都看看吧,好的,2,0,都 看看 吧,好 的
55,那您帮我约一下，看看他们什么时候方便，谢谢,好的，你什么时间方便。,0,1,那 您 帮 我 约 一下 ， 看看 他们 什么 时候 方便 ， 谢谢,好 的 ， 你 什么 时间 方便 。
55,那您帮我约一下，看看他们什么时候方便，谢谢,好的,1,0,那 您 帮 我 约 一下 ， 看看 他们 什么 时候 方便 ， 谢谢,好 的
55,那您帮我约一下，看看他们什么时候方便，谢谢,今天租户出去了，明天上午可以安排看房。,2,1,那 您 帮 我 约 一下 ， 看看 他们 什么 时候 方便 ， 谢谢,今天 租户 出去 了 ， 明天 上午 可以 安排 看房 。
56,行，明天都看看,好,0,0,行 ， 明天 都 看看,好
56,行，明天都看看,晚点儿我约下业主的时间,1,1,行 ， 明天 都 看看,晚 点儿 我 约 下 业主 的 时间
56,行，明天都看看,好的,2,0,行 ， 明天 都 看看,好 的
57,看房方便吗,嗯嗯很方便，提前预约随时可看,0,1,看房 方便 吗,嗯 嗯 很 方便 ， 提前 预约 随时 可 看
57,看房方便吗,恩恩,1,0,看房 方便 吗,恩恩
57,看房方便吗,您好,2,0,看房 方便 吗,您好
58,临大路哈？,对旁边是通史南路,0,1,临 大路 哈 ？,对 旁边 是 通史 南路
58,临大路哈？,房主着急卖，如果考虑的话可以再聊聊,1,0,临 大路 哈 ？,房主 着急 卖 ， 如果 考虑 的话 可以 再 聊聊
58,临大路哈？,这个房有钥匙，你看今天什么时候有时间？,2,0,临 大路 哈 ？,这个 房有 钥匙 ， 你 看 今天 什么 时候 有 时间 ？
59,拎包入住？就是说家具这些房东不拿走？,这套房子装修保养非常不错,0,0,拎包 入住 ？ 就是说 家具 这些 房东 不 拿走 ？,这套 房子 装修 保养 非常 不错
59,拎包入住？就是说家具这些房东不拿走？,嗯嗯,1,0,拎包 入住 ？ 就是说 家具 这些 房东 不 拿走 ？,嗯 嗯
59,拎包入住？就是说家具这些房东不拿走？,带家具家电一起卖哈,2,0,拎包 入住 ？ 就是说 家具 这些 房东 不 拿走 ？,带 家具 家电 一起 卖哈
59,拎包入住？就是说家具这些房东不拿走？,房东只带走私人物品,3,0,拎包 入住 ？ 就是说 家具 这些 房东 不 拿走 ？,房东 只 带走 私人物品
60,什么时候能够看房呢？,😓,0,0,什么 时候 能够 看房 呢 ？,😓
60,什么时候能够看房呢？,😁,1,0,什么 时候 能够 看房 呢 ？,😁
61,我想了解一下这里的房子,您是考虑买还是卖？,0,0,我 想 了解 一下 这里 的 房子,您 是 考虑 买 还是 卖 ？
61,我想了解一下这里的房子,之前您有没有过来看过这个小区呢,1,0,我 想 了解 一下 这里 的 房子,之前 您 有没有 过来 看过 这个 小区 呢
61,我想了解一下这里的房子,有153-166-178平的,2,0,我 想 了解 一下 这里 的 房子,有 153 - 166 - 178 平 的
61,我想了解一下这里的房子,好的,3,0,我 想 了解 一下 这里 的 房子,好 的
61,我想了解一下这里的房子,我给您发几套，您看一下,4,0,我 想 了解 一下 这里 的 房子,我 给 您 发 几套 ， 您 看 一下
62,上哪个小学呢,您是说的那套房子？,0,1,上 哪个 小学 呢,您 是 说 的 那套 房子 ？
62,上哪个小学呢,常秀家园还是那个小区呢？,1,0,上 哪个 小学 呢,常秀 家园 还是 那个 小区 呢 ？
62,上哪个小学呢,常秀家园对应的是海淀育鹰小学,2,1,上 哪个 小学 呢,常秀 家园 对应 的 是 海淀 育鹰 小学
63,51看看哪天我约你吧,农忙了,0,0,51 看看 哪天 我 约 你 吧,农忙 了
63,51看看哪天我约你吧, 好的呀,1,0,51 看看 哪天 我 约 你 吧,  好 的 呀
63,51看看哪天我约你吧, 客户不多,2,0,51 看看 哪天 我 约 你 吧,  客户 不 多
64,北一路哪？,这套房子在兴工北街1号,0,1,北 一路 哪 ？,这套 房子 在 兴工 北街 1 号
64,北一路哪？,对,1,0,北 一路 哪 ？,对
64,北一路哪？,好的,2,0,北 一路 哪 ？,好 的
65,那前面光线怎么样,不影响啊,0,0,那 前面 光线 怎么样,不 影响 啊
65,那前面光线怎么样,就是看顶楼你介意不,1,0,那 前面 光线 怎么样,就是 看 顶楼 你 介意 不
65,那前面光线怎么样,?这个我怎么说呢，夏天不管几楼的房子都要开空调,2,0,那 前面 光线 怎么样,? 这个 我 怎么 说 呢 ， 夏天 不管 几楼 的 房子 都 要 开 空调
65,那前面光线怎么样,那不会,3,0,那 前面 光线 怎么样,那 不会
65,那前面光线怎么样,漏雨的话会跟您说的,4,0,那 前面 光线 怎么样,漏雨 的话 会 跟 您 说 的
66,这套房配套学区怎么样啊,板厂小学的招生简章上有本小区,0,1,这 套房 配套 学区 怎么样 啊,板厂 小学 的 招生简章 上 有 本 小区
